AI: questfinisherAI
Express Disappointment (3-person)-Accentuate the Negative (3-person),16
Accentuate the Negative (3-person)-Blame,5
Share Feelings-Accentuate the Negative (3-person),105
Court-Accentuate the Negative (3-person),217
Accentuate the Negative (3-person)-Flatter (3-person),42
Conversation Flirt (Direct)-Compliment,201
Compliment-Flatter (3-person),240
Declare Rivalry-Council,87
Flatter (3-person)-Compliment,122
Compliment-Council,99
Ask Out (3-person)-Ultimatum (3-person),134
Ultimatum (3-person)-Conversation Flirt (Direct),160
Share Feelings-Physical Flirt (light),170
Confide In-Conversation Flirt (Direct),147
Conversation Flirt (Direct)-Ask Out (3-person),363
Break up (3-person)-Ultimatum (3-person),78
Conversation Flirt (Direct)-Confide In,150
Confide In-Declare Rivalry (3-person),197
Declare Rivalry (3-person)-Ask Out (3-person),173
Confide In-Court,658
Break up (3-person)-Find Faults,198
Find Faults-Share Feelings,342
Confide In-Break up (3-person),171
Discuss (Item)-Compliment,68
Flatter (3-person)-Find Faults,814
Ultimatum (3-person)-Council,271
Ask Out (3-person)-Confide In,275
Ultimatum (3-person)-Find Faults,100
Find Faults-Flatter (3-person),893
Break up (3-person)-Confide In,229
Confide In-Flatter (3-person),864
Declare Rivalry (3-person)-Find Faults,211
Find Faults-Fueling the Fire,417
Fueling the Fire-Court,179
Fueling the Fire-Break up (3-person),85
Break up (3-person)-Break Up,14
Break Up-Court,86
Break up (3-person)-Council,560
Share Feelings-Break Up,9
Break Up-Council,51
Find Faults-Bad Council,201
Bad Council-Council,147
Break up (3-person)-Flatter (3-person),371
Flatter (3-person)-Bad Council,44
Confide In-Intervention (3-person),24
Intervention (3-person)-Flatter (3-person),30
Ask Out (3-person)-Break up (3-person),182
Compliment-Court,32
Share Feelings-Compliment,28
Share Feelings-Break up (3-person),397
Physical Flirt (light)-Compliment,163
Compliment-Find Faults,75
Compliment-Encourage,39
Find Faults-Physical Flirt (light),94
Flatter (3-person)-Confide In,769
Find Faults-Declare Rivalry (3-person),240
Truce (3-person)-Discuss (Item),122
Flatter (3-person)-Declare Rivalry,90
Declare Rivalry-Court,23
Discuss (Item)-Confide In,216
Confide In-Ask Out (3-person),266
Find Faults-Confide In,510
Flatter (3-person)-Court,1258
Council-Bad Council,155
Bad Council-Fueling the Fire,55
Fueling the Fire-Confide In,166
Ask Out (3-person)-Find Faults,260
Find Faults-Conversation Flirt (Direct),198
Flatter (3-person)-Fueling the Fire,286
Fueling the Fire-Ask Out (3-person),135
Ask Out (3-person)-Declare Rivalry (3-person),114
Physical Flirt (light)-Declare Rivalry (3-person),164
Declare Rivalry (3-person)-Ultimatum (3-person),62
Declare Rivalry (3-person)-Discuss (Item),130
Declare Rivalry (3-person)-Conversation Flirt (Direct),259
Declare Rivalry (3-person)-Share Feelings,334
Fueling the Fire-Share Feelings,158
Flatter (3-person)-Accentuate the Negative (3-person),103
Truce (3-person)-Find Faults,481
Physical Flirt (light)-Encourage,46
Encourage-Ask Out (3-person),36
Conversation Flirt (Direct)-Truce (3-person),360
Court-Ultimatum (3-person),92
Ultimatum (3-person)-Truce (3-person),35
Share Feelings-Intervention (3-person),34
Intervention (3-person)-Council,46
Share Feelings-Truce (3-person),268
Truce (3-person)-Confide In,408
Share Feelings-Fueling the Fire,136
Fueling the Fire-Find Faults,437
