AI: niceAI
Declare Rivalry (3-person)-Truce (3-person),52
Conversation Flirt (Direct)-Declare Rivalry (3-person),61
Declare Rivalry (3-person)-Flatter (3-person),15
Confide In-Envy,3
Envy-Encourage,2
Ask Out (3-person)-Ultimatum (3-person),12
Ultimatum (3-person)-Flatter (3-person),4
Flatter (3-person)-Find Faults,110
Confide In-Ultimatum (3-person),3
Ultimatum (3-person)-Encourage,1
Confide In-Declare Rivalry (3-person),13
Court-Find Faults,177
Truce (3-person)-Ask Out,139
Encourage-Physical Flirt (light),129
Find Faults-Compliment,9
Flatter (3-person)-Ask Out,79
Find Faults-Physical Flirt (light),19
Find Faults-Conversation Flirt (Direct),204
Find Faults-Share Feelings,298
Conversation Flirt (Direct)-Find Faults,175
Find Faults-Council,70
Court-Ask Out,120
Ask Out-Encourage,35
Council-Compliment,44
Flatter (3-person)-Apologize,56
Ask Out-Confide In,21
Confide In-Bad Council,5
Bad Council-Flatter (3-person),6
Talk Up Other (3-person)-Truce (3-person),24
Ask Out-Flatter (3-person),58
Council-Talk Up Other (3-person),16
Fueling the Fire-Truce (3-person),43
Ask Out-Court,118
Council-Ask Out,40
Ask Out (3-person)-Talk Up Other (3-person),25
Talk Up Other (3-person)-Council,16
Find Faults-Ask Out,12
Truce (3-person)-Break Up,2
Break Up-Share Feelings,1
Physical Flirt (light)-Find Faults,13
Encourage-Ask Out,56
Confide In-Talk Up Other (3-person),20
Flatter (3-person)-Declare Rivalry,1
Declare Rivalry-Give Romantic Gift (Item),1
Give Romantic Gift (Item)-Confide In,1
Share Feelings-Give Romantic Gift (Item),6
Give Romantic Gift (Item)-Truce (3-person),9
Council-Give Romantic Gift (Item),4
Give Romantic Gift (Item)-Share Feelings,8
Court-Give Romantic Gift (Item),13
Give Romantic Gift (Item)-Council,3
Ask Out (3-person)-Give Romantic Gift (Item),6
Find Faults-Intervention (3-person),1
Intervention (3-person)-Physical Flirt (light),2
Conversation Flirt (Direct)-Fueling the Fire,38
Fueling the Fire-Confide In,19
Fueling the Fire-Find Faults,12
Council-Apologize,19
Compliment-Apologize,11
Court-Envy,1
Flatter (3-person)-Bad Council,4
Bad Council-Share Feelings,9
Conversation Flirt (Direct)-Bad Council,9
Bad Council-Truce (3-person),9
Truce (3-person)-Break up (3-person),21
Break up (3-person)-Court,12
Conversation Flirt (Direct)-Break up (3-person),37
Break up (3-person)-Confide In,5
Declare Rivalry (3-person)-Court,14
Declare Rivalry (3-person)-Conversation Flirt (Direct),35
Find Faults-Break up (3-person),5
Break up (3-person)-Ask Out (3-person),34
Ask Out (3-person)-Break up (3-person),49
Break up (3-person)-Conversation Flirt (Direct),25
Break up (3-person)-Truce (3-person),37
Court-Break up (3-person),12
Break up (3-person)-Share Feelings,21
Physical Flirt (light)-Gossip,1
Gossip-Encourage,1
Share Feelings-Break up (3-person),13
Break up (3-person)-Find Faults,3
Apologize-Find Faults,10
Conversation Flirt (Direct)-Blame,9
Blame-Apologize,1
Declare Rivalry (3-person)-Confide In,14
Talk Up Other (3-person)-Flatter (3-person),16
Truce (3-person)-Talk Up Other (3-person),22
Break up (3-person)-Apologize,2
Compliment-Ask Out,28
Compliment-Find Faults,4
Ask Out (3-person)-Embarrass Self,2
Embarrass Self-Truce (3-person),2
Truce (3-person)-Embarrass Self,3
Embarrass Self-Flatter (3-person),1
Physical Flirt (light)-Ultimatum (3-person),1
Ultimatum (3-person)-Ask Out (3-person),9
Encourage-Talk Up Other (3-person),7
Encourage-Declare Rivalry (3-person),14
Court-Declare Rivalry (3-person),8
Flatter (3-person)-Talk Up Other (3-person),36
Talk Up Other (3-person)-Confide In,17
Fueling the Fire-Apologize,8
Fueling the Fire-Declare Rivalry (3-person),1
Confide In-Compliment,21
Ask Out-Council,24
Apologize-Council,13
Share Feelings-Blame,8
Blame-Court,7
Compliment-Confide In,11
Encourage-Reminisce (3-person),2
Reminisce (3-person)-Share Feelings,17
Conversation Flirt (Direct)-Embarrass Self,1
Embarrass Self-Confide In,1
Apologize-Physical Flirt (light),11
Court-Blame,5
Blame-Truce (3-person),9
Find Faults-Apologize,8
Talk Up Other (3-person)-Encourage,19
Break up (3-person)-Physical Flirt (light),2
Flatter (3-person)-Flatter (3-person),18
Share Feelings-Declare Rivalry (3-person),8
Physical Flirt (light)-Declare Rivalry (3-person),3
Flatter (3-person)-Fueling the Fire,12
Ask Out-Compliment,11
Ultimatum (3-person)-Conversation Flirt (Direct),3
Confide In-Blame,3
Blame-Share Feelings,7
Ask Out (3-person)-Blame,7
Confide In-Give Romantic Gift (Item),5
Give Romantic Gift (Item)-Flatter (3-person),5
Truce (3-person)-Endear (3-person),1
Endear (3-person)-Conversation Flirt (Direct),1
Apologize-Compliment,7
Flatter (3-person)-Give Romantic Gift (Item),5
Give Romantic Gift (Item)-Ask Out (3-person),6
Share Feelings-Bad Council,8
Ask Out (3-person)-Bad Council,6
Find Faults-Talk Up Other (3-person),3
Flatter (3-person)-Break up (3-person),6
Declare Rivalry (3-person)-Encourage,9
Truce (3-person)-Reminisce (3-person),15
Reminisce (3-person)-Court,12
Reminisce (3-person)-Encourage,6
Reminisce (3-person)-Ask Out (3-person),23
Council-Declare Rivalry (3-person),2
Ask Out (3-person)-Reminisce (3-person),18
Reminisce (3-person)-Ask Out,2
Reminisce (3-person)-Flatter (3-person),9
Reminisce (3-person)-Council,13
Flatter (3-person)-Reminisce (3-person),52
Reminisce (3-person)-Truce (3-person),23
Confide In-Endear (3-person),1
Endear (3-person)-Physical Flirt (light),1
Ask Out-Declare Rivalry (3-person),2
Ask Out (3-person)-Break Up,3
Break Up-Truce (3-person),2
Truce (3-person)-Bad Council,15
Bad Council-Find Faults,6
Blame-Confide In,2
Talk Up Other (3-person)-Find Faults,4
Fueling the Fire-Bad Council,4
Reminisce (3-person)-Confide In,7
Conversation Flirt (Direct)-Reminisce (3-person),5
Share Feelings-Envy,2
Envy-Court,2
Confide In-Gossip,2
Gossip-Flatter (3-person),4
Find Faults-Declare Rivalry,1
Declare Rivalry-Ask Out (3-person),1
Ask Out (3-person)-Endear (3-person),3
Endear (3-person)-Flatter (3-person),5
Confide In-Reminisce (3-person),7
Share Feelings-Reminisce (3-person),8
Reminisce (3-person)-Find Faults,2
Find Faults-Reminisce (3-person),3
Conversation Flirt (Direct)-Give Romantic Gift (Item),8
Give Romantic Gift (Item)-Court,8
Fueling the Fire-Break up (3-person),1
Conversation Flirt (Direct)-Endear (3-person),3
Endear (3-person)-Compliment,1
Talk Up Other (3-person)-Apologize,2
Bad Council-Fueling the Fire,3
Encourage-Bad Council,2
Truce (3-person)-Give Romantic Gift (Item),4
Ask Out-Find Faults,7
Find Faults-Declare Rivalry (3-person),9
Declare Rivalry (3-person)-Share Feelings,15
Conversation Flirt (Direct)-Ultimatum (3-person),6
Ultimatum (3-person)-Apologize,2
Ask Out-Fueling the Fire,2
Flatter (3-person)-Blame,3
Blame-Conversation Flirt (Direct),9
Bad Council-Conversation Flirt (Direct),8
Give Romantic Gift (Item)-Apologize,1
Give Romantic Gift (Item)-Conversation Flirt (Direct),10
Bad Council-Ask Out (3-person),8
Find Faults-Bad Council,8
Flatter (3-person)-Gossip,2
Gossip-Physical Flirt (light),2
Declare Rivalry (3-person)-Apologize,4
Declare Rivalry (3-person)-Find Faults,2
Conversation Flirt (Direct)-Declare Rivalry,2
Declare Rivalry-Truce (3-person),1
Ask Out-Apologize,14
Ultimatum (3-person)-Confide In,6
Truce (3-person)-Blame,8
Break up (3-person)-Flatter (3-person),3
Court-Bad Council,5
Bad Council-Confide In,3
Find Faults-Gossip,1
Ask Out (3-person)-Give Gift (Item),1
Give Gift (Item)-Flatter (3-person),1
Compliment-Break up (3-person),1
Declare Rivalry (3-person)-Ultimatum (3-person),5
Find Faults-Ultimatum (3-person),1
Confide In-Declare Rivalry,1
Declare Rivalry-Share Feelings,3
Bad Council-Council,3
Council-Endear (3-person),1
Endear (3-person)-Ask Out (3-person),4
Ultimatum (3-person)-Find Faults,2
Blame-Ask Out (3-person),7
Break up (3-person)-Council,2
Council-Bad Council,3
Compliment-Declare Rivalry (3-person),1
Flatter (3-person)-Discuss (Item),1
Discuss (Item)-Truce (3-person),1
Confide In-Discuss (Item),1
Discuss (Item)-Ask Out (3-person),1
Encourage-Break up (3-person),4
Embarrass Self-Share Feelings,1
Ask Out-Break up (3-person),1
Break up (3-person)-Declare Rivalry (3-person),3
Ultimatum (3-person)-Court,2
Apologize-Ask Out,7
Envy-Share Feelings,3
Bad Council-Court,12
Reminisce (3-person)-Conversation Flirt (Direct),4
Give Romantic Gift (Item)-Encourage,2
Fueling the Fire-Ask Out,3
Fueling the Fire-Physical Flirt (light),4
Physical Flirt (light)-Fueling the Fire,3
Break up (3-person)-Blame,2
Truce (3-person)-Ultimatum (3-person),5
Ultimatum (3-person)-Truce (3-person),5
Give Romantic Gift (Item)-Physical Flirt (light),1
Break up (3-person)-Encourage,2
Court-Ultimatum (3-person),1
Encourage-Give Romantic Gift (Item),1
Bad Council-Apologize,1
Council-Break up (3-person),1
Confide In-Break up (3-person),3
Embarrass Self-Ask Out (3-person),2
Give Romantic Gift (Item)-Bad Council,1
Encourage-Give Gift (Item),1
Give Gift (Item)-Truce (3-person),1
Declare Rivalry (3-person)-Physical Flirt (light),1
Conversation Flirt (Direct)-Break Up,1
Break Up-Compliment,1
Physical Flirt (light)-Give Romantic Gift (Item),2
Physical Flirt (light)-Break up (3-person),1
Ultimatum (3-person)-Council,3
Talk Up Other (3-person)-Ask Out,1
Encourage-Blame,1
Blame-Fueling the Fire,1
Apologize-Fueling the Fire,1
Flatter (3-person)-Ultimatum (3-person),3
Ultimatum (3-person)-Share Feelings,1
Blame-Find Faults,2
Council-Reminisce (3-person),7
Court-Reminisce (3-person),4
Encourage-Gossip,1
Flatter (3-person)-Intervention (3-person),2
Blame-Encourage,1
Compliment-Fueling the Fire,1
Declare Rivalry (3-person)-Compliment,3
Encourage-Declare Rivalry,1
Declare Rivalry-Confide In,1
Encourage-Envy,1
Envy-Confide In,1
Flatter (3-person)-Envy,1
Envy-Truce (3-person),1
Declare Rivalry (3-person)-Council,2
Ask Out-Blame,1
Ask Out (3-person)-Envy,1
Break up (3-person)-Compliment,1
Bad Council-Encourage,3
Blame-Ask Out,1
Flatter (3-person)-Endear (3-person),3
Encourage-Embarrass Self,1
Share Feelings-Ultimatum (3-person),1
Bad Council-Talk Up Other (3-person),1
Break Up-Declare Rivalry (3-person),1
Flatter (3-person)-Break Up,1
Break Up-Conversation Flirt (Direct),2
Declare Rivalry (3-person)-Bad Council,1
Apologize-Talk Up Other (3-person),2
Physical Flirt (light)-Break Up,1
Intervention (3-person)-Truce (3-person),1
Fueling the Fire-Compliment,2
Compliment-Bad Council,1
Truce (3-person)-Declare Rivalry,1
Endear (3-person)-Apologize,1
Reminisce (3-person)-Apologize,3
Physical Flirt (light)-Endear (3-person),1
Blame-Talk Up Other (3-person),1
Find Faults-Embarrass Self,1
Embarrass Self-Physical Flirt (light),1
Break Up-Court,1
Break up (3-person)-Ask Out,1
Find Faults-Blame,1

