AI: questfinisherAI
Talk Up Other (3-person)-Fueling the Fire,9
Fueling the Fire-Ask Out (3-person),307
Ask Out (3-person)-Bad Council,384
Court-Ask Out (3-person),253
Find Faults-Share Feelings,426
Ask Out (3-person)-Find Faults,290
Physical Flirt (light)-Truce (3-person),229
Declare Rivalry (3-person)-Compliment,53
Physical Flirt (light)-Declare Rivalry (3-person),186
Declare Rivalry (3-person)-Ask Out (3-person),173
Ultimatum (3-person)-Fueling the Fire,96
Find Faults-Compliment,78
Compliment-Fueling the Fire,16
Find Faults-Declare Rivalry,18
Compliment-Discuss (Item),33
Discuss (Item)-Bad Council,208
Bad Council-Physical Flirt (light),181
Confide In-Conversation Flirt (Direct),217
Compliment-Conversation Flirt (Direct),102
Find Faults-Confide In,473
Declare Rivalry (3-person)-Confide In,229
Confide In-Physical Flirt (light),54
Discuss (Item)-Compliment,67
Flatter (3-person)-Declare Rivalry (3-person),849
Find Faults-Council,137
Council-Court,144
Court-Compliment,38
Compliment-Share Feelings,60
Share Feelings-Find Faults,241
Conversation Flirt (Direct)-Break up (3-person),252
Break up (3-person)-Physical Flirt (light),53
Declare Rivalry (3-person)-Discuss (Item),216
Discuss (Item)-Conversation Flirt (Direct),402
Bad Council-Ask Out,19
Ask Out-Share Feelings,47
Find Faults-Truce (3-person),713
Truce (3-person)-Break up (3-person),124
Find Faults-Blame,52
Blame-Fueling the Fire,70
Find Faults-Ask Out (3-person),343
Bad Council-Break up (3-person),276
Break up (3-person)-Find Faults,176
Truce (3-person)-Ask Out (3-person),236
Fueling the Fire-Find Faults,705
Physical Flirt (light)-Flatter (3-person),891
Ask Out (3-person)-Truce (3-person),141
Ask Out (3-person)-Discuss (Item),169
Discuss (Item)-Court,275
Confide In-Declare Rivalry (3-person),195
Blame-Confide In,78
Ultimatum (3-person)-Declare Rivalry (3-person),34
Confide In-Discuss (Item),254
Ultimatum (3-person)-Find Faults,72
Bad Council-Blame,195
Find Faults-Ultimatum (3-person),56
Ultimatum (3-person)-Bad Council,87
Bad Council-Ultimatum (3-person),68
Discuss (Item)-Fueling the Fire,304
Fueling the Fire-Physical Flirt (light),74
Court-Declare Rivalry (3-person),362
Ask Out (3-person)-Council,74
Council-Confide In,129
Discuss (Item)-Confide In,202
Find Faults-Physical Flirt (light),111
Confide In-Ultimatum (3-person),70
Conversation Flirt (Direct)-Find Faults,208
Conversation Flirt (Direct)-Confide In,227
Discuss (Item)-Declare Rivalry,13
Declare Rivalry-Find Faults,26
Flatter (3-person)-Encourage,102
Encourage-Find Faults,42
Break up (3-person)-Ultimatum (3-person),82
Confide In-Break up (3-person),157
Share Feelings-Encourage,29
Declare Rivalry (3-person)-Petty Argument,11
Petty Argument-Bad Council,8
Break up (3-person)-Accentuate the Negative (3-person),12
Accentuate the Negative (3-person)-Share Feelings,146
Truce (3-person)-Compliment,24
Compliment-Bad Council,69
Break up (3-person)-Confide In,230
Confide In-Blame,44
Break up (3-person)-Blame,162
Confide In-Find Faults,525
Compliment-Court,20
Confide In-Compliment,39
Petty Argument-Share Feelings,3
Share Feelings-Break Up,13
Break Up-Break up (3-person),12
Blame-Find Faults,103
Ultimatum (3-person)-Court,209
Physical Flirt (light)-Encourage,73
Encourage-Conversation Flirt (Direct),91
Blame-Conversation Flirt (Direct),111
Share Feelings-Blame,102
Declare Rivalry (3-person)-Apologize,27
Apologize-Flatter (3-person),101
Declare Rivalry-Physical Flirt (light),22
Physical Flirt (light)-Apologize,20
Apologize-Bad Council,112
Flatter (3-person)-Compliment,120
Find Faults-Apologize,25
Truce (3-person)-Apologize,46
Conversation Flirt (Direct)-Apologize,70
Compliment-Break up (3-person),11
Break up (3-person)-Conversation Flirt (Direct),237
Share Feelings-Break up (3-person),330
Blame-Ask Out,8
Ask Out-Flatter (3-person),32
Share Feelings-Ask Out,71
Ask Out-Ask Out (3-person),4
Share Feelings-Discuss (Item),113
Encourage-Apologize,12
Apologize-Break up (3-person),20
Ask Out (3-person)-Apologize,20
Blame-Apologize,6
Apologize-Ask Out (3-person),30
Find Faults-Discuss (Item),245
Bad Council-Apologize,191
Break up (3-person)-Ask Out (3-person),110
Apologize-Court,72
Court-Talk Up Other (3-person),16
Talk Up Other (3-person)-Share Feelings,16
Break up (3-person)-Court,340
Apologize-Talk Up Other (3-person),2
Talk Up Other (3-person)-Court,17
Ask Out (3-person)-Court,359
Ask Out (3-person)-Talk Up Other (3-person),2
Talk Up Other (3-person)-Confide In,13
Ask Out (3-person)-Confide In,256
Confide In-Apologize,31
Truce (3-person)-Court,405
Apologize-Find Faults,49
Confide In-Council,180
Council-Fueling the Fire,138
Truce (3-person)-Talk Up Other (3-person),7
Talk Up Other (3-person)-Bad Council,27
Court-Apologize,64
Conversation Flirt (Direct)-Ask Out (3-person),353
Truce (3-person)-Conversation Flirt (Direct),345
Declare Rivalry-Share Feelings,37
Discuss (Item)-Blame,47
Declare Rivalry (3-person)-Blame,31
Blame-Encourage,6
Apologize-Blame,23
Blame-Bad Council,153
Flatter (3-person)-Apologize,59
Fueling the Fire-Truce (3-person),412
Apologize-Council,7
Accentuate the Negative (3-person)-Council,4
Ask Out (3-person)-Share Feelings,289
Council-Flatter (3-person),133
Encourage-Physical Flirt (light),24
Court-Encourage,58
Discuss (Item)-Truce (3-person),141
Declare Rivalry (3-person)-Encourage,32
Encourage-Truce (3-person),22
Truce (3-person)-Declare Rivalry,20
Accentuate the Negative (3-person)-Find Faults,11
Bad Council-Declare Rivalry,40
Truce (3-person)-Council,98
Declare Rivalry-Declare Rivalry (3-person),11
Find Faults-Declare Rivalry (3-person),207
Ask Out (3-person)-Conversation Flirt (Direct),329
Council-Ask Out (3-person),76
Ultimatum (3-person)-Truce (3-person),20
Share Feelings-Ask Out (3-person),79
Apologize-Confide In,29
Court-Discuss (Item),264
Discuss (Item)-Find Faults,221
Discuss (Item)-Ask Out (3-person),144
Conversation Flirt (Direct)-Ultimatum (3-person),101
Apologize-Conversation Flirt (Direct),66
Apologize-Truce (3-person),58
Share Feelings-Apologize,44
Ask Out (3-person)-Declare Rivalry (3-person),142
Fueling the Fire-Compliment,13
Compliment-Physical Flirt (light),100
Ask Out (3-person)-Compliment,18
Break up (3-person)-Truce (3-person),98
Confide In-Give Gift (Item),23
Give Gift (Item)-Flatter (3-person),12
Truce (3-person)-Discuss (Item),141
Accentuate the Negative (3-person)-Flatter (3-person),31
Declare Rivalry-Conversation Flirt (Direct),44
Council-Conversation Flirt (Direct),104
Discuss (Item)-Council,127
Discuss (Item)-Ultimatum (3-person),33
Ask Out (3-person)-Break up (3-person),159
Blame-Share Feelings,111
Bad Council-Discuss (Item),168
Blame-Truce (3-person),46
Council-Truce (3-person),44
Discuss (Item)-Ask Out,5
Declare Rivalry (3-person)-Ask Out,8
Court-Revelation (3-person),6
Revelation (3-person)-Share Feelings,5
Flatter (3-person)-Talk Up Other (3-person),2
Talk Up Other (3-person)-Discuss (Item),12
Discuss (Item)-Break up (3-person),43
Fueling the Fire-Discuss (Item),132
Ultimatum (3-person)-Flatter (3-person),190
Blame-Ultimatum (3-person),12
Accentuate the Negative (3-person)-Conversation Flirt (Direct),61
Share Feelings-Accentuate the Negative (3-person),84
Court-Declare Rivalry,18
Declare Rivalry-Talk Up Other (3-person),3
Blame-Court,143
Flatter (3-person)-Accentuate the Negative (3-person),28
Physical Flirt (light)-Fueling the Fire,166
Confide In-Break Up,33
Truce (3-person)-Break Up,23
Break Up-Share Feelings,26
Break up (3-person)-Apologize,16
Apologize-Share Feelings,51
Break Up-Fueling the Fire,47
Conversation Flirt (Direct)-Encourage,134
Truce (3-person)-Ultimatum (3-person),24
Ultimatum (3-person)-Discuss (Item),30
Flatter (3-person)-Break Up,47
Break Up-Council,5
Council-Encourage,13
Blame-Ask Out (3-person),35
Encourage-Blame,7
Encourage-Declare Rivalry (3-person),47
Declare Rivalry-Court,28
Share Feelings-Ultimatum (3-person),50
Ask Out (3-person)-Blame,29
Conversation Flirt (Direct)-Declare Rivalry,63
Physical Flirt (light)-Bad Council,189
Compliment-Declare Rivalry,13
Court-Ultimatum (3-person),91
Ultimatum (3-person)-Confide In,66
Compliment-Encourage,30
Conversation Flirt (Direct)-Break Up,9
Physical Flirt (light)-Declare Rivalry,53
Declare Rivalry-Truce (3-person),16
Physical Flirt (light)-Break Up,7
Break Up-Find Faults,29
Fueling the Fire-Break Up,46
Fueling the Fire-Embarrass Self,2
Embarrass Self-Find Faults,2
Declare Rivalry (3-person)-Council,45
Council-Discuss (Item),45
Break up (3-person)-Declare Rivalry (3-person),64
Council-Blame,11
Physical Flirt (light)-Break up (3-person),40
Talk Up Other (3-person)-Truce (3-person),7
Break up (3-person)-Discuss (Item),40
Declare Rivalry-Flatter (3-person),68
Bad Council-Council,123
Court-Ask Out,29
Ask Out-Bad Council,10
Declare Rivalry-Ask Out (3-person),19
Talk Up Other (3-person)-Compliment,1
Ask Out-Conversation Flirt (Direct),46
Compliment-Blame,2
Fueling the Fire-Apologize,25
Apologize-Ultimatum (3-person),3
Ultimatum (3-person)-Apologize,2
Apologize-Fueling the Fire,24
Truce (3-person)-Blame,29
Physical Flirt (light)-Council,30
Council-Declare Rivalry (3-person),42
Encourage-Bad Council,64
Break up (3-person)-Encourage,17
Compliment-Council,4
Encourage-Discuss (Item),24
Discuss (Item)-Envy,2
Envy-Flatter (3-person),2
Ultimatum (3-person)-Physical Flirt (light),58
Flatter (3-person)-Ask Out,28
Ask Out-Fueling the Fire,30
Blame-Discuss (Item),12
Encourage-Share Feelings,63
Declare Rivalry-Break up (3-person),8
Compliment-Ask Out (3-person),22
Break Up-Confide In,37
Bad Council-Petty Argument,19
Petty Argument-Find Faults,29
Fueling the Fire-Petty Argument,10
Petty Argument-Discuss (Item),5
Declare Rivalry (3-person)-Ultimatum (3-person),66
Declare Rivalry-Compliment,14
Share Feelings-Talk Up Other (3-person),13
Talk Up Other (3-person)-Apologize,2
Find Faults-Ask Out,7
Find Faults-Revelation (3-person),1
Revelation (3-person)-Bad Council,8
Court-Break Up,28
